     Energy       F.Density    GA.Brill.            PL            PC          PL45
         eV  ph/s/mr^2/0.1%  F.Dens/mm^2             -             -             -
1.19762e+04       2.375e+11    2.924e+11  9.557309e-01  0.000000e+00  0.000000e+00
1.20261e+04       2.363e+11    2.909e+11  9.557338e-01  0.000000e+00  0.000000e+00
1.20760e+04       2.350e+11    2.894e+11  9.557369e-01  0.000000e+00  0.000000e+00
1.21259e+04       2.338e+11    2.879e+11  9.557402e-01  0.000000e+00  0.000000e+00
1.21758e+04       2.326e+11    2.863e+11  9.557437e-01  0.000000e+00  0.000000e+00
1.22257e+04       2.314e+11    2.848e+11  9.557473e-01  0.000000e+00  0.000000e+00
1.22756e+04       2.301e+11    2.833e+11  9.557511e-01  0.000000e+00  0.000000e+00
1.23255e+04       2.289e+11    2.818e+11  9.557551e-01  0.000000e+00  0.000000e+00
1.23754e+04       2.277e+11    2.804e+11  9.557592e-01  0.000000e+00  0.000000e+00
1.24253e+04       2.265e+11    2.789e+11  9.557635e-01  0.000000e+00  0.000000e+00
1.24752e+04       2.253e+11    2.774e+11  9.557680e-01  0.000000e+00  0.000000e+00
1.25251e+04       2.241e+11    2.759e+11  9.557726e-01  0.000000e+00  0.000000e+00
1.25750e+04       2.229e+11    2.744e+11  9.557774e-01  0.000000e+00  0.000000e+00
1.26249e+04       2.217e+11    2.730e+11  9.557823e-01  0.000000e+00  0.000000e+00
1.26748e+04       2.205e+11    2.715e+11  9.557875e-01  0.000000e+00  0.000000e+00
1.27247e+04       2.193e+11    2.700e+11  9.557927e-01  0.000000e+00  0.000000e+00
1.27746e+04       2.182e+11    2.686e+11  9.557981e-01  0.000000e+00  0.000000e+00
1.28245e+04       2.170e+11    2.671e+11  9.558037e-01  0.000000e+00  0.000000e+00
1.28744e+04       2.158e+11    2.657e+11  9.558094e-01  0.000000e+00  0.000000e+00
1.29243e+04       2.146e+11    2.642e+11  9.558152e-01  0.000000e+00  0.000000e+00
1.29742e+04       2.135e+11    2.628e+11  9.558212e-01  0.000000e+00  0.000000e+00
1.30241e+04       2.123e+11    2.614e+11  9.558274e-01  0.000000e+00  0.000000e+00
1.30740e+04       2.111e+11    2.599e+11  9.558337e-01  0.000000e+00  0.000000e+00
1.31239e+04       2.100e+11    2.585e+11  9.558401e-01  0.000000e+00  0.000000e+00
1.31738e+04       2.088e+11    2.571e+11  9.558467e-01  0.000000e+00  0.000000e+00
1.32237e+04       2.077e+11    2.557e+11  9.558534e-01  0.000000e+00  0.000000e+00
1.32736e+04       2.065e+11    2.543e+11  9.558602e-01  0.000000e+00  0.000000e+00
1.33235e+04       2.054e+11    2.529e+11  9.558672e-01  0.000000e+00  0.000000e+00
1.33734e+04       2.043e+11    2.515e+11  9.558743e-01  0.000000e+00  0.000000e+00
1.34233e+04       2.031e+11    2.501e+11  9.558815e-01  0.000000e+00  0.000000e+00
1.34732e+04       2.020e+11    2.487e+11  9.558889e-01  0.000000e+00  0.000000e+00
1.35231e+04       2.009e+11    2.473e+11  9.558964e-01  0.000000e+00  0.000000e+00
1.35730e+04       1.997e+11    2.459e+11  9.559040e-01  0.000000e+00  0.000000e+00
1.36229e+04       1.986e+11    2.445e+11  9.559118e-01  0.000000e+00  0.000000e+00
1.36728e+04       1.975e+11    2.432e+11  9.559197e-01  0.000000e+00  0.000000e+00
1.37227e+04       1.964e+11    2.418e+11  9.559277e-01  0.000000e+00  0.000000e+00
1.37726e+04       1.953e+11    2.404e+11  9.559358e-01  0.000000e+00  0.000000e+00
1.38225e+04       1.942e+11    2.391e+11  9.559440e-01  0.000000e+00  0.000000e+00
1.38724e+04       1.931e+11    2.377e+11  9.559524e-01  0.000000e+00  0.000000e+00
1.39223e+04       1.920e+11    2.364e+11  9.559608e-01  0.000000e+00  0.000000e+00
1.39722e+04       1.909e+11    2.351e+11  9.559694e-01  0.000000e+00  0.000000e+00
1.40221e+04       1.898e+11    2.337e+11  9.559781e-01  0.000000e+00  0.000000e+00
1.40720e+04       1.888e+11    2.324e+11  9.559869e-01  0.000000e+00  0.000000e+00
1.41219e+04       1.877e+11    2.311e+11  9.559959e-01  0.000000e+00  0.000000e+00
1.41718e+04       1.866e+11    2.297e+11  9.560049e-01  0.000000e+00  0.000000e+00
1.42217e+04       1.855e+11    2.284e+11  9.560140e-01  0.000000e+00  0.000000e+00
1.42716e+04       1.845e+11    2.271e+11  9.560233e-01  0.000000e+00  0.000000e+00
1.43215e+04       1.834e+11    2.258e+11  9.560327e-01  0.000000e+00  0.000000e+00
1.43714e+04       1.824e+11    2.245e+11  9.560421e-01  0.000000e+00  0.000000e+00
1.44213e+04       1.813e+11    2.232e+11  9.560517e-01  0.000000e+00  0.000000e+00
1.44712e+04       1.803e+11    2.219e+11  9.560614e-01  0.000000e+00  0.000000e+00
1.45211e+04       1.792e+11    2.207e+11  9.560711e-01  0.000000e+00  0.000000e+00
1.45710e+04       1.782e+11    2.194e+11  9.560810e-01  0.000000e+00  0.000000e+00
1.46209e+04       1.772e+11    2.181e+11  9.560910e-01  0.000000e+00  0.000000e+00
1.46708e+04       1.761e+11    2.168e+11  9.561011e-01  0.000000e+00  0.000000e+00
1.47207e+04       1.751e+11    2.156e+11  9.561112e-01  0.000000e+00  0.000000e+00
1.47706e+04       1.741e+11    2.143e+11  9.561215e-01  0.000000e+00  0.000000e+00
